id;name;schultyp;öffentlich_privat;straße;plz;ort;lat;lng;anzahl_schüeler;anzahl_schueler_jahr;anteil_schülerinnen;anteil_schüler;anteil_geschlecht_jahr;anteil_nicht_deutscher_herkunftsprache;anteil_nicht_deutscher_herkunftsprache_jahr;fehlzeiten_unentschuldigt_in_prozent;vertretung_von_unterricht_in_prozent;fehlzeiten_vertretung_jahr;ausfall_von_unterricht_in_prozent;ausfall_von_unterricht_in_prozent_jahr
08Y01;Albrecht-Dürer-Gymnasium;Gymnasium;öffentlich;Emser Str. 133-137;12051;Berlin;52.46947;13.43961;565;17/18;54;46;17/18;66,5;17/18;4,2;9,9;15/16;1,6;15/16
06Y06;Beethoven-Gymnasium;Gymnasium;öffentlich;Barbarastr. 9;12249;Berlin;52.43293;13.34283;869;17/18;61;39;17/18;13,6;17/18;0;4,5;15/16;2,6;15/16
03Y08;Carl-von-Ossietzky-Gymnasium;Gymnasium;öffentlich;Görschstr. 42-44;13187;Berlin;52.56636;13.40072;964;17/18;62;38;17/18;4;17/18;0,1;6;15/16;2,6;15/16
10Y11;Melanchthon-Gymnasium;Gymnasium;öffentlich;Adele-Sandrock-Str. 73-75;12627;Berlin;52.53487;13.61829;850;17/18;56;44;17/18;11,2;17/18;0,1;11;15/16;0,4;15/16
